x_ref,y_ref,x_SMC,y_SMC,x_AFSMC,y_AFSMC
10.812500000000002,16.995748549269607,10.288540716914682,16.08821039971105,10.30880715224203,16.11023514669804
10.825000000000003,17.01739918436422,10.301041634867236,16.109862255318927,10.321249641086553,16.13192063198832
10.837500000000002,17.03904981945883,10.313542545947602,16.131514131182964,10.333689392221238,16.153607704127683
10.850000000000001,17.06070045455344,10.326043449475737,16.153166025714746,10.346126484930435,16.175296315212258
10.862500000000002,17.082351089648053,10.33854434480217,16.174817937342873,10.358560998161256,16.19698641760545
10.875000000000002,17.104001724742663,10.351045231307664,16.196469864514082,10.370993010527169,16.218677963935402
10.887500000000001,17.12565235983727,10.363546108402858,16.21812180569431,10.383422600311507,16.240370907092437
10.900000000000002,17.147302994931884,10.376046975527883,16.239773759369736,10.395849845470627,16.2620652002267
10.912500000000003,17.168953630026497,10.388547832151955,16.26142572404777,10.408274823636466,16.283760796746105
10.925000000000002,17.190604265121106,10.401048677772954,16.283077698258,10.420697612118259,16.305457650314708
10.937500000000002,17.21225490021572,10.413549511916969,16.304729680553127,10.433118287903202,16.327155714851664
10.950000000000001,17.233905535310328,10.426050334137845,16.326381669509804,10.4455369276559,16.348854944530864
10.962500000000002,17.25555617040494,10.438551144016694,16.348033663729485,10.45795360771642,16.3705552937813
10.975000000000003,17.277206805499553,10.451051941161404,16.369685661839217,10.470368404096849,16.392256717288287
10.987500000000002,17.298857440594162,10.463552725206126,16.391337662492383,10.482781392476257,16.41395916999553
11.000000000000002,17.32050807568877,10.476053495810751,16.41298966436941,10.495192648193985,16.435662607108146
11.012500000000001,17.34215871078338,10.488554252660375,16.434641666178432,10.50760224624124,16.457366984096602
11.025,17.363809345877993,10.50105499546475,16.456293666655938,10.520010261250972,16.4790722567016
11.037500000000001,17.385459980972605,10.51355572395773,16.477945664567336,10.53241676748605,16.500778380939916
11.050000000000002,17.407110616067218,10.526056437896703,16.49959765870751,10.54482183882575,16.522485313111165
11.062500000000002,17.428761251161827,10.538557137062023,16.52124964790133,10.55722554875063,16.54419300980544
11.075000000000003,17.45041188625644,10.55105782125643,16.54290163100412,10.569627970325822,16.565901427911854
11.087500000000002,17.47206252135105,10.563558490304459,16.56455360690208,10.582029176182859,16.587610524627873
11.100000000000001,17.493713156445658,10.576059144051857,16.586205574512682,10.59442923850009,16.609320257469427
11.112500000000002,17.51536379154027,10.58855978236499,16.607857532785026,10.60682822898181,16.63103058428174
11.125000000000002,17.537014426634883,10.601060405130246,16.62950948070015,10.619226218836188,16.6527414632508
11.137500000000001,17.558665061729492,10.613561012253436,16.651161417271304,10.631623278752134,16.674452852915444
11.150000000000004,17.58031569682411,10.626061603659197,16.672813341544195,10.644019478875192,16.696164712179954
11.162500000000003,17.601966331918717,10.638562179290396,16.69446525259719,10.656414888782615,16.71787700032711
11.175000000000002,17.623616967013326,10.651062739107529,16.716117149541486,10.668809577457713,16.739589677031642
11.187500000000002,17.645267602107936,10.663563283088122,16.737769031521232,10.681203613263616,16.761302702373992
11.200000000000001,17.666918237202545,10.676063811226145,16.759420897713643,10.693597063916584,16.783016036854352
11.212500000000002,17.688568872297157,10.688564323531416,16.78107274732905,10.705989996458973,16.804729641406848
11.225000000000001,17.71021950739177,10.701064820029009,16.802724579610935,10.718382477231978,16.826443477413875
11.2375,17.73187014248638,10.713565300758678,16.82437639383594,10.730774571848306,16.848157506720455
11.250000000000002,17.75352077758099,10.726065765774273,16.846028189313813,10.743166345164846,16.869871691648587
11.262500000000003,17.775171412675604,10.738566215143168,16.867679965387353,10.755557861255516,16.891585995011525
11.275000000000002,17.796822047770213,10.751066648945693,16.889331721432313,10.767949183384333,16.913300380127886
11.287500000000003,17.818472682864826,10.763567067274575,16.910983456857274,10.78034037397887,16.935014810835582
11.300000000000002,17.840123317959435,10.77606747023438,16.932635171103485,10.792731494604176,16.956729251505475
11.312500000000002,17.861773953054048,10.78856785794097,16.95428686364469,10.805122605937273,16.978443667054705
11.325000000000001,17.883424588148657,10.80106823052096,16.9759385339869,10.817513767742314,17.00015802295967
11.3375,17.905075223243266,10.813568588111188,16.997590181668166,10.82990503884651,17.021872285268568
11.350000000000001,17.92672585833788,10.826068930858197,17.019241806258318,10.842296477116898,17.04358642061347
11.362500000000002,17.94837649343249,10.838569258917715,17.040893407358663,10.854688139438041,17.065300396221883
11.375000000000002,17.9700271285271,10.851069572454158,17.062544984601683,10.86708008169073,17.087014179927763
11.387500000000003,17.991677763621713,10.863569871640129,17.084196537650683,10.879472358731762,17.10872774018192
11.400000000000002,18.01332839871632,10.876070156655937,17.10584806619945,10.891865024374857,17.130441046061794
11.412500000000001,18.034979033810934,10.888570427689121,17.127499569971853,10.904258131372764,17.15215406728059
11.425000000000002,18.056629668905547,10.90107068493399,17.14915104872145,10.916651731400625,17.173866774195705
11.437500000000002,18.078280304000156,10.913570928591161,17.170802502231062,10.92904587504062,17.195579137816434
11.450000000000001,18.099930939094765,10.926071158867124,17.19245393031233,10.941440611767945,17.217291129810967
11.462500000000004,18.12158157418938,10.938571375973805,17.21410533280525,10.953835989938154,17.239002722512613
11.475000000000003,18.14323220928399,10.951071580128145,17.235756709577704,10.966232056775882,17.26071388892526
11.487500000000002,18.1648828443786,10.963571771551694,17.257408060524952,10.97862885836496,17.282424602728067
11.500000000000002,18.186533479473212,10.976071950470205,17.279059385569134,10.99102643963996,17.304134838279378
11.512500000000001,18.20818411456782,10.988572117113254,17.30071068465873,11.003424844379134,17.325844570619847
11.525000000000002,18.229834749662434,11.001072271713857,17.322361957768024,11.015824115198772,17.347553775474783
11.537500000000001,18.251485384757043,11.01357241450811,17.34401320489656,11.028224293548943,17.36926242925574
11.55,18.273136019851652,11.026072545734827,17.365664426068555,11.040625419710631,17.39097050906133
11.562500000000002,18.294786654946265,11.038572665635211,17.38731562133234,11.053027532794202,17.412677992677285
11.575000000000003,18.316437290040877,11.051072774452509,17.408966790759766,11.065430670739195,17.434384858575815
11.587500000000002,18.338087925135486,11.063572872431699,17.430617934445593,11.077834870315392,17.45609108591424
11.600000000000003,18.359738560230102,11.076072959819182,17.452269052506892,11.090240167125119,17.477796654532956
11.612500000000002,18.38138919532471,11.088573036862481,17.473920145082435,11.102646595606718,17.49950154495272
11.625000000000002,18.40303983041932,11.101073103809956,17.495571212332052,11.115054189039157,17.52120573837137
